Lazy chunk files        Raw size
face-filter-lazy.module-R5SEJPIH.js | 842.49 kB
three-lazy.module-DNFSAL6F.js | 487.69 kB
chunk-ISB7VI6Q.js | 480.32 kB
skits.module-CIZOLSB4.js | 303.03 kB
chunk-AWSMM3ZD.js | 253.40 kB
chunk-JRLFRVAJ.js | 211.93 kB
table-stories.routing-7LW2DRYK.js | 183.59 kB
input-stories.routing-TX5PA6R7.js | 136.40 kB
list-stories.routing-KWARKBBV.js | 111.88 kB
button-stories.routing-YJEMKNXG.js | 103.57 kB
carousel-stories.routing-YDORMMUJ.js | 94.79 kB
gallery-grid-stories.routing-UDLCN2KI.js | 84.52 kB
icon-stories.routing-JKJCP4SH.js | 79.34 kB
callout-stories.routing-EOHZXKKS.js | 75.88 kB
progress-bar-stories.routing-AGIVGDFA.js | 71.63 kB
multi-select-stories.routing-QMGFNGGD.js | 69.91 kB
tabs-stories.routing-4EM47DPY.js | 69.53 kB
showcase-card-stories.module-WD6WUYFG.js | 63.98 kB
dropdown-filter-stories.routing-YGNYCDF3.js | 63.63 kB
gallery-mosaic-stories.routing-4435FQOT.js | 62.84 kB
section-article-stories.routing-FIUA4IR6.js | 62.45 kB
image-cropper-stories.routing-K6RSVVJA.js | 58.24 kB
brand-style-guide.component-QQLV7NR5.js | 56.28 kB
progress-steps-stories.routing-6ZANZHZG.js | 55.84 kB
service-offering-carousel-stories.module-64BLHWKG.js | 55.83 kB
username-stories.routing-E5I233U6.js | 53.82 kB
file-select-stories.routing-KTKNGNWJ.js | 53.06 kB
media-viewer-stories.routing-IYZ7TPJT.js | 49.36 kB
banner-alert-stories.routing-NQGGLJ2U.js | 49.19 kB
card-stories.routing-BE5CG7YP.js | 47.03 kB
search-stories.routing-YOBSHM5F.js | 46.21 kB
rating-stories.routing-4C6NQLET.js | 45.52 kB
picture-stories.routing-WBLMB7OR.js | 44.75 kB
textarea-stories.routing-YJQE5TMV.js | 43.63 kB
banner-upsell-stories.routing-FWAX5OQG.js | 42.59 kB
drawer-stories.routing-RLW3LVU2.js | 42.50 kB
comment-ui-stories.module-7DXSZISH.js | 41.64 kB
text-stories.routing-W6X7WC2B.js | 41.07 kB
experience-stories.module-GJ6C6XF7.js | 39.46 kB
split-button-stories.routing-SP2BUSP7.js | 39.25 kB
radio-card-stories.module-BN4BCXSP.js | 39.22 kB
chunk-A3E77ZO4.js | 38.71 kB
tag-stories.routing-O6Z6PK4I.js | 38.32 kB
bid-pattern-card-stories.module-R2IYICH3.js | 37.48 kB
sink.routing-ADKD6JFJ.js | 36.28 kB
section-case-study-carousel-stories.routing-AADSYGV4.js | 35.26 kB
badge-stories.routing-7RHBRPZ4.js | 34.03 kB
section-hero-stories.routing-7KZYVM2I.js | 33.79 kB
upgrade-item-stories.module-WTDQ74BN.js | 32.72 kB
ai-textarea-stories.routing-G4GWZPYI.js | 32.54 kB
link-stories.routing-YTKTVUDV.js | 32.02 kB
review-card-stories.module-WCXOTLSA.js | 31.58 kB
map-stories.routing-G7TKYNQ3.js | 31.50 kB
user-avatar-stories.routing-NPBK2FNG.js | 31.00 kB
relative-time-stories.routing-QU4AUAQ3.js | 30.78 kB
phone-input-stories.routing-DPB6YTQD.js | 30.18 kB
select-stories.routing-VIY7MX5C.js | 30.03 kB
duration-stories.module-UXDBC23V.js | 29.66 kB
tailwind-text-stories.routing-5RIQJJDF.js | 29.65 kB
